hugo	ensembl_id	n_reactions	n_subsystems	subsystems	reactions
A4GALT	ENSG00000128274	2	2	Sphingolipid metabolism;Glycosphingolipid biosynthesis-globo series	MAR08148;MAR00801
A4GNT	ENSG00000118017	6	3	O-glycan metabolism;Sphingolipid metabolism;Glycosphingolipid metabolism	MAR08254;MAR08255;MAR00765;MAR00924;MAR00925;MAR00926
AAAS	ENSG00000094914	1	1	Transport reactions	MAR13086
AACS	ENSG00000081760	2	2	Butanoate metabolism;Cholesterol metabolism	MAR01436;MAR01576
AADAC	ENSG00000114771	10	3	Acylglycerides metabolism;Isolated;Retinol metabolism	MAR00003;MAR00665;MAR00667;MAR00668;MAR00669;MAR00670;MAR00671;MAR00672;MAR08648;MAR06636
AADAT	ENSG00000109576	7	4	Alanine, aspartate and glutamate metabolism;Lysine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tryptophan metabolism	MAR04197;MAR04596;MAR04597;MAR04244;MAR04246;MAR02765;MAR03048
AANAT	ENSG00000129673	1	1	Serotonin and melatonin biosynthesis	MAR04546
AARS1	ENSG00000090861	1	1	Aminoacyl-tRNA biosynthesis	MAR05131
AASDH	ENSG00000157426	19	2	Arachidonic acid metabolism;Vitamin E metabolism	MAR01065;MAR01066;MAR01067;MAR01068;MAR01069;MAR01070;MAR06432;MAR06433;MAR06435;MAR06436;MAR06448;MAR06450;MAR06451;MAR06453;MAR06471;MAR06472;MAR06473;MAR06484;MAR06486
AASDHPPT	ENSG00000149313	1	1	Pantothenate and CoA metabolism	MAR04500
AASS	ENSG00000008311	3	1	Lysine metabolism	MAR04288;MAR04667;MAR04668
ABAT	ENSG00000183044	5	4	Alanine, aspartate and glutamate metabolism;Valine, leucine, and isoleucine metabolism;Beta-alanine metabolism;Transport reactions	MAR04693;MAR08088;MAR04330;MAR03792;MAR08089
ABCA1	ENSG00000165029	111	1	Transport reactions	MAR00190;MAR00194;MAR00198;MAR00202;MAR00207;MAR00211;MAR00215;MAR00224;MAR00231;MAR00235;MAR00239;MAR00243;MAR00247;MAR00253;MAR00257;MAR00261;MAR00265;MAR00269;MAR00273;MAR00277;MAR00281;MAR00287;MAR00291;MAR00295;MAR00299;MAR00303;MAR00307;MAR00311;MAR00317;MAR00321;MAR00325;MAR00329;MAR00335;MAR00339;MAR00343;MAR00347;MAR00351;MAR00355;MAR00359;MAR00363;MAR00367;MAR00371;MAR00375;MAR00379;MAR00383;MAR00387;MAR00391;MAR00395;MAR00399;MAR00403;MAR00407;MAR00411;MAR00415;MAR00419;MAR00423;MAR00427;MAR00431;MAR00435;MAR00439;MAR00476;MAR01911;MAR05527;MAR05528;MAR05529;MAR05530;MAR05531;MAR05532;MAR05533;MAR05534;MAR05535;MAR05536;MAR05537;MAR05538;MAR05539;MAR05540;MAR05541;MAR08661;MAR02385;MAR02386;MAR07658;MAR09901;MAR11572;MAR11582;MAR11587;MAR11588;MAR11589;MAR11590;MAR11591;MAR11592;MAR11593;MAR11594;MAR11595;MAR11596;MAR11597;MAR11598;MAR11599;MAR11600;MAR11601;MAR11602;MAR11603;MAR11604;MAR11605;MAR11606;MAR11607;MAR11608;MAR11609;MAR11610;MAR11611;MAR11612;MAR11627;MAR11802
ABCA3	ENSG00000167972	1	1	Transport reactions	MAR09897
