hugo	ensembl_id	gene_name	uniprot	compartment	n_reactions	n_subsystems	subsystems	pathway_class	reactions
A4GALT	ENSG00000128274	alpha 1,4-galactosyltransferase (P blood group)	Q9NPC4	Golgi apparatus;Mitochondria	2	2	Sphingolipid metabolism;Glycosphingolipid biosynthesis-globo series	Lipid metabolism;Glycan metabolism	MAR08148;MAR00801
A4GNT	ENSG00000118017	alpha-1,4-N-acetylglucosaminyltransferase	Q9UNA3	Golgi apparatus	6	3	O-glycan metabolism;Sphingolipid metabolism;Glycosphingolipid metabolism	Glycan metabolism;Lipid metabolism	MAR08254;MAR08255;MAR00765;MAR00924;MAR00925;MAR00926
AAAS	ENSG00000094914	NA	NA	NA	1	1	Transport reactions	Transport	MAR13086
AACS	ENSG00000081760	acetoacetyl-CoA synthetase	Q86V21	Cytosol	2	2	Butanoate metabolism;Cholesterol metabolism	Carbohydrate metabolism;Lipid metabolism	MAR01436;MAR01576
AADAC	ENSG00000114771	arylacetamide deacetylase	P22760	Endoplasmic reticulum	10	3	Acylglycerides metabolism;Isolated;Retinol metabolism	Lipid metabolism;Other;Vitamin and cofactor metabolism	MAR00003;MAR00665;MAR00667;MAR00668;MAR00669;MAR00670;MAR00671;MAR00672;MAR08648;MAR06636
AADAT	ENSG00000109576	aminoadipate aminotransferase	Q8N5Z0	Mitochondria	7	4	Alanine, aspartate and glutamate metabolism;Lysine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Tryptophan metabolism	Amino acid metabolism	MAR04197;MAR04596;MAR04597;MAR04244;MAR04246;MAR02765;MAR03048
AANAT	ENSG00000129673	aralkylamine N-acetyltransferase	Q16613	Cytosol	1	1	Serotonin and melatonin biosynthesis	Amino acid metabolism	MAR04546
AARS1	ENSG00000090861	alanyl-tRNA synthetase 1	P49588	Cytosol	1	1	Aminoacyl-tRNA biosynthesis	Nucleotide metabolism	MAR05131
AASDH	ENSG00000157426	aminoadipate-semialdehyde dehydrogenase	Q4L235	Nucleus	19	2	Arachidonic acid metabolism;Vitamin E metabolism	Lipid metabolism;Vitamin and cofactor metabolism	MAR01065;MAR01066;MAR01067;MAR01068;MAR01069;MAR01070;MAR06432;MAR06433;MAR06435;MAR06436;MAR06448;MAR06450;MAR06451;MAR06453;MAR06471;MAR06472;MAR06473;MAR06484;MAR06486
AASDHPPT	ENSG00000149313	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Q9NRN7	Cytosol	1	1	Pantothenate and CoA metabolism	Vitamin and cofactor metabolism	MAR04500
